spatial-radial_div,spatial-radial_loy,spatial-radial_reg,weekly_div,weekly_loy,weekly_reg,hourly_div,hourly_loy,hourly_reg,spatial-grid_div,spatial-grid_loy,spatial-grid_reg,age,gender,marital,education,working,OS1Class,DaysClass1,Trouble
0.924800876,0.875,0.896849847,0.930698303,0.634615385,0.937361385,0.939168846,0.365384615,0.97509113,0.975593789,0.375,0.970246288,32,Male,Married,High School,Private Sector Employee,1,0,0
0.883141428,0.78125,0.923736804,0.8409272,0.795918367,0.917335682,0.936081846,0.367346939,0.846746478,0.944850628,0.375,0.809371042,50,Male,Married,College,Public Servant,1,0,0
0.830026086,0.680851064,0.896132767,0.972016748,0.576271186,0.865184342,0.921079525,0.372881356,0.722599713,0.917470481,0.382978723,0.946702302,30,Female,Married,High School,Public Servant,1,0,0
0.850003101,1,0.398957044,0.889946974,0.695652174,0.865615103,0.872712699,0.550724638,0.915053437,0.947569987,0.388888889,0.202709065,24,Male,Single,College,Private Sector Employee,1,0,0
0.820329775,0.892857143,0.873343558,0.972903978,0.575,0.955668811,0.940396034,0.375,0.815093178,0.937722606,0.392857143,0.986413098,28,Male,Single,Primary School,Private Sector Employee,1,0,0
0.835975008,0.7,0.758231311,0.94095839,0.611111111,0.719814108,0.922582665,0.5,0.910575608,0.984858662,0.4,0.928483358,27,Male,Single,High School,Private Sector Employee,1,0,0
0.93497753,0.8,0.851292365,0.953215686,0.777777778,0.307900708,0.941617855,0.5,0.644044613,0.984858662,0.4,0.928483358,33,Male,Single,College,Private Sector Employee,1,1,0
0.92455389,0.701754386,0.96211813,0.976604091,0.547169811,0.944745241,0.923225895,0.339622642,0.937507267,0.908583793,0.403508772,0.879358335,40,Male,Married,College,Public Servant,1,0,0
0.645810982,0.952380952,0.976351052,0.979549297,0.554545455,0.92173675,0.937608039,0.318181818,0.885159924,0.912214664,0.404761905,0.944147331,29,Male,Single,High School,Private Sector Employee,1,0,0
0.729201505,0.734265734,0.945456914,0.977806004,0.538793103,0.975331293,0.935035314,0.314655172,0.977057705,0.841106878,0.405594406,0.910727925,29,Male,Single,College,Public Servant,1,0,0
NA,NA,NA,0.986502929,0.513761468,0.921445434,0.94822556,0.293577982,0.935333148,0.878796438,0.406779661,0.863680066,58,Male,Divorced,Primary School,Retiree & Private Sector Employee,1,0,0
0.835274005,0.743589744,0.903204733,0.960696683,0.588235294,0.892461457,0.948269765,0.338235294,0.813987095,0.910762701,0.41025641,0.899166921,51,Male,Married,College,Self-Employed - Retail,1,1,0
0.735719021,1,0.990248342,0.980144851,0.5,0.816622037,0.9459086,0.375,0.909529911,0.965417553,0.411764706,0.991105001,30,Male,Married,College,Public Servant,0,0,0
0.884861669,0.833333333,0.969723246,0.926631023,0.619047619,0.965859279,0.927873226,0.523809524,0.941598494,0.978837914,0.416666667,0.907372675,42,Male,Married,College,Private Sector Employee,1,1,0
0.864786979,0.916666667,0.385670706,0.904469972,0.727272727,0.80690505,0.901326736,0.545454545,0.671101852,0.978837914,0.416666667,0.19427007,30,Male,Married,High School,Private Sector Employee,1,0,0
0,1,1,0.965990396,0.555555556,0.248112938,0.938820581,0.444444444,0.228629124,0.978837914,0.416666667,0.19427007,28,Male,Single,High School,Public Servant,1,1,0
0.249882293,1,0.823306536,0.986021972,0.518867925,0.963674868,0.743931132,0.613207547,0.905005093,0.941659664,0.416666667,0.928069342,33,Male,Single,High School,Self-Employed - Service,0,0,0
0.6569502,0.888888889,0.844855512,0.892242766,0.734375,0.882941286,0.902665068,0.34375,0.796172132,0.926020563,0.416666667,0.858902438,43,Male,Married,College,Private Sector Employee,1,0,0
0.846629922,0.701492537,0.889534733,0.973438049,0.552238806,0.962270571,0.928955173,0.350746269,0.948557231,0.872981305,0.417910448,0.916114591,48,Male,Married,College,Retiree & Non-Employed,1,0,0
0.884921368,0.651162791,0.914580909,0.927301033,0.649350649,0.992946135,0.889803613,0.428571429,0.956821512,0.913317171,0.418604651,0.816890225,30,Male,Single,College,Private Sector Employee,0,0,0
0.712462662,0.849462366,0.993306379,0.96063748,0.575757576,0.9654409,0.948545146,0.252525253,0.900676475,0.863585513,0.419354839,0.816208165,52,Male,Divorced,College,Private Sector Employee,1,0,0
0.656737137,0.935483871,0.983789351,0.98686674,0.514285714,0.927761684,0.92711784,0.371428571,0.959593318,0.948373045,0.419354839,0.866461909,26,Male,Single,College,Private Sector Employee,0,0,0
0.875966144,0.842105263,0.845449612,0.910922977,0.660377358,0.935435777,0.966398866,0.283018868,0.930755633,0.93882989,0.421052632,0.986437977,58,Male,Married,College,Retiree & Non-Employed,1,0,0
0.883315731,0.631578947,0.882444131,0.961745859,0.581395349,0.841758729,0.920011265,0.418604651,0.93094423,0.950030091,0.421052632,0.873992074,25,Male,Married,High School,Private Sector Employee,0,0,0
0.816005733,0.757575758,0.869786172,0.96549307,0.590909091,0.884485804,0.935668973,0.363636364,0.726751083,0.915631621,0.424242424,0.912300268,43,Male,Married,High School,Self-Employed - Retail,1,1,0
0.904058357,0.638297872,0.959919718,0.983985902,0.511904762,0.822663713,0.925325393,0.327380952,0.876011785,0.837449899,0.425531915,0.892389956,64,Male,Married,College,Private Sector Employee,1,0,0
NA,NA,NA,0.943159302,0.655172414,0.97356071,0.939924975,0.275862069,0.868118379,0.936636855,0.428571429,0.973799335,24,Male,Single,College,Public Servant,0,0,0
0.815421195,0.80952381,0.940423689,0.883008478,0.701754386,0.969114958,0.953154661,0.315789474,0.951269395,0.93339423,0.428571429,0.808910449,36,Male,Married,College,Private Sector Employee,1,0,0
0.86991553,1,0.958537093,0.989464171,0.555555556,0.786504032,0.956304734,0.444444444,0.606738325,1,0.428571429,0.873730932,26,Female,Single,College,Public Servant,0,0,0
0.921185497,0.857142857,0.884631267,0.902508147,0.64,0.845889871,0.943793746,0.44,0.805577729,1,0.428571429,0.949492373,45,Male,Married,Primary School,Private Sector Employee,1,1,0
